Дата;COIN UW Equity;MSTR UW Equity;MARA UR Equity;TSLA UW Equity
30.11.2022;45,73;198,09;6,32;194,7
31.10.2022;66,25;267,51;13,11;227,54
30.09.2022;64,49;212,26;10,71;265,25
31.08.2022;66,8;231,56;11,85;275,61
31.07.2022;62,96;286,06;12,99;297,15
30.06.2022;47,02;164,3;5,34;224,47
31.05.2022;78,1;264,69;10,23;252,75
30.04.2022;112,71;354,17;15,6;290,25
31.03.2022;189,86;486,32;27,95;359,2
28.02.2022;188,58;441,19;25,18;287,65
31.01.2022;190,17;364,73;23,42;311,06
31.12.2021;253,17;545,63;33,16;353,35
30.11.2021;315;721,43;51,07;381,59
31.10.2021;319,42;715,06;52,24;371
30.09.2021;227,48;578,4;31,58;258,49
31.08.2021;259;694,3;40,59;245,24
31.07.2021;236,58;626,01;27,63;229,066
30.06.2021;253,3;664,5;31,37;226,57
31.05.2021;236,54;470;24,77;208,406
30.04.2021;297,64;657,16;36,78;236,48
31.03.2021;0;678,8;48,02;222,64
28.02.2021;0;750,41;30,15;225,166
31.01.2021;0;617,31;20,74;264,51
31.12.2020;0;388,55;10,44;235,22
30.11.2020;0;342,77;6,28;189,2
31.10.2020;0;167,07;2,16;129,346
30.09.2020;0;150,56;1,96;143
31.08.2020;0;144,44;2,48;166,12
31.07.2020;0;123,92;2,03;95,38
30.06.2020;0;118,29;0,91;71,99
31.05.2020;0;124,48;0,7;55
30.04.2020;0;126,33;0,45;52,125
31.03.2020;0;118,1;0,45;34,93
29.02.2020;0;135,16;0,8597;44,53
31.01.2020;0;152,03;1,04;43,37
31.12.2019;0;142,63;0,8814;27,888
30.11.2019;0;150,33;1,28;21,99
