CpnBarrier;CallBarrier;cpn_date;Nominal;Current_date;Initial_date;Final_fixing_date ;Strike;cpn_y;gear put;тело;mem;ER_year;steps
75%;100%;12.11.2021;69 300 000;30.12.2022;25.08.2021;12.08.2024;75%;18%;75%;100%;4;0,0468;10.02.2023
75%;98%;11.02.2022;;;;;;;;;;;28.02.2023
75%;96%;12.05.2022;;;;;;;;;;;31.03.2023
75%;94%;12.08.2022;;;;;;;;;;;30.04.2023
75%;92%;10.11.2022;;;;;;;;;;;12.05.2023
75%;90%;10.02.2023;;;;;;;;;;;31.05.2023
75%;88%;12.05.2023;;;;;;;;;;;30.06.2023
75%;86%;11.08.2023;;;;;;;;;;;31.07.2023
75%;84%;13.11.2023;;;;;;;;;;;11.08.2023
75%;82%;12.02.2024;;;;;;;;;;;31.08.2023
75%;80%;10.05.2024;;;;;;;;;;;30.09.2023
75%;78%;12.08.2024;;;;;;;;;;;31.10.2023
;;;;;;;;;;;;;13.11.2023
;;;;;;;;;;;;;30.11.2023
;;;;;;;;;;;;;31.12.2023
;;;;;;;;;;;;;31.01.2024
;;;;;;;;;;;;;12.02.2024
;;;;;;;;;;;;;28.02.2024
;;;;;;;;;;;;;31.03.2024
;;;;;;;;;;;;;30.04.2024
;;;;;;;;;;;;;10.05.2024
;;;;;;;;;;;;;31.05.2024
;;;;;;;;;;;;;30.06.2024
;;;;;;;;;;;;;31.07.2024
;;;;;;;;;;;;;12.08.2024
;;;;;;;;;;;;;
